台灣新聞,#genre# 
非凡新聞,p8p://0198.02686.cc:16871/5d1a69d500091c6b11be5f7e1276fa82.ts
非凡新聞,P2p://fccsovh.pvbox.live:18912/5c2dd766000ecf4a4c509c7319a08a29.ts
非凡新聞,P2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
非凡新聞,p2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
非凡新聞,mitv://fccsovh.pvbox.live:18912/5b14092c0001a04c99a9499df71f0144.ts
非凡新聞,http://ddbb.228888888.xyz:8081/live/tw110.m3u8
非凡新聞,http://198.16.106.58:8278/niandainews_twn/playlist.m3u8?tid=MA9A4585574045855740&ct=18392&tsum=8e00d9bbb1694fd06709283decbca63b
華視新聞,http://ddbb.228888888.xyz:8081/live/tw103.m3u8
民視新聞,p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
民視新聞,P2p://fccsovh.pvbox.live:18912/5b1409690004f7332b4526da408e8da2.ts
民視新聞,http://ddbb.228888888.xyz:8081/live/tw105.m3u8
民視新聞,http://198.16.106.58:8278/ftvnew_taiwan/playlist.m3u8?tid=MCCC6989888169898881&ct=18392&tsum=a2198ff991ead233ab307858d50403b0
東森財經,rtmp://xiaoyu.speedws.com/sat/tv571
東森財經,p8p://0198.02686.cc:16871/5d1a69c300063ae211be1871800a9ae8.ts
東森財經,http://ddbb.228888888.xyz:8081/live/tw111.m3u8
東森財經,http://198.16.106.58:8278/ettvcaijing_twn/playlist.m3u8?tid=MD8D3428497234284972&ct=18392&tsum=48bb0d687f3f6452b00a126b0d19a499
東森新聞,p8p://0198.02686.cc:16871/5d1a69c2000a678211be159b7e5802a8.ts
東森新聞,P2p://fccsovh.pvbox.live:18912/5c2dd7310008b319c22d543273ae752d.ts
東森新聞,P2p://fccsovh.pvbox.live:18912/5b1409520005add46d722dfcbe65cb4c.ts
東森新聞,p2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
東森新聞,P2p://190.2.146.92 :18912/5c7248a0000383701d5337cb153b4b51.ts
東森新聞,http://ddbb.228888888.xyz:8081/live/tw106.m3u8
東森新聞,http://198.16.106.58:8278/ettvnews1/playlist.m3u8?tid= MD4D7195950671959506&ct=18392&tsum=49739f15d61e1f79c12063c1ebeb8a89
東森新聞,http://198.16.106.58:8278/ettvnews/playlist.m3u8?tid=ME2E3419872834198728&ct=18392&tsum=08c9e6687c888827da5cfe6bbc5d9c28
東森新聞,http://192.154.103.75:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
東森新聞,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
東森亞洲,http://ddbb.228888888.xyz:8081/live/tw112.m3u8
年代新聞,p8p://0198.02686.cc:16871/5d1a69bb000e0fd711bdfb32923ec02b.ts
年代新聞,P2p://fccsovh.pvbox.live:18912/5c2dd76000032856cc77709577dc1ebc.ts
年代新聞,P2p://fccsovh.pvbox.live:18912/5b1409fd000a72697545d72c1f2c4259.ts
年代新聞,http://ddbb.228888888.xyz:8081/live/tw116.m3u8
年代新聞,http://198.16.106.58:8278/niandainews_twn/playlist.m3u8?tid=MBFB3726632837266328&ct=18392&tsum=313c34bcc65e646b279d0bfd6d2d8745
年代新聞,http://192.154.103.75:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
年代新聞,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
寰宇財經,p8p://0198.02686.cc:16871/5d1a69bb00034ddd11bdf8710f58e2f3.ts
寰宇財經,http://198.16.106.58:8278/kuanyubiz_twn/playlist.m3u8?tid=MB8B6719975067199750&ct=18392&tsum=0a253fe1053a13b21f759c87f6f307ff
寰宇新聞2,http://ddbb.228888888.xyz:8081/live/tw113.m3u8
寰宇新聞,p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
寰宇新聞,P2p://fccsovh.pvbox.live: 18912/5b1408f30005adec9974397fac9826c6.ts
寰宇新聞,http://ddbb.228888888.xyz:8081/live/tw114.m3u8
寰宇新聞,http://198.16.106.58:8278/kuanyunews1/playlist.m3u8?tid=MD4D2992491529924915&ct= 18392&tsum=76a0aadf6bddccaa4473aaf3919f75e7
壹電視,P2p://fccsovh.pvbox.live:18912/5b14094000088a466e47d3afd44bb2c1.ts
壹電視,http://198.16.106.58:8278/Nexttvnews/playlist.m3u8?tid=MF3F1210790312107903&ct=18392&tsum=d5bae03872c8f88dbe63044df4f8bc68
壹新聞,p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
壹新聞,P2p://fccsovh.pvbox.live :18912/5bdbf3a3000abb1b9757039e805e3c0f.ts
壹新聞,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/media.m3u8
壹新聞,http://ddbb.228888888.xyz:8081/live/tw115.m3u8
壹新聞,http://198.16.106.58:8278/onetvnews/playlist.m3u8?tid=MEDE6579865765798657&ct=18392&tsum=e129427a5c5f1da1c7c4a1c920cb39df
台視新聞,P2p://fccsovh.pvbox.live:18912/5b14090b0004b9da89f966912173fcd7.ts
台視新聞,http://ddbb.228888888.xyz:8081/live/tw102.m3u8
台視新聞,http://198.16.106.58:8278/ttvnews_twn/playlist.m3u8?tid=MEBE9938168199381681&ct=18393&tsum=bee488883704403efbc35ccff896d15f
中視新聞,P2p://fccsovh.pvbox.live:18912/5b14095e000f37747ca78ffd7e762bdf.ts
中視新聞,http://ddbb.228888888.xyz:8081/live/tw107.m3u8
中視新聞,http://198.16.106.58:8278/zhongshinews_twn/playlist.m3u8?tid=ME3E4054894340548943&ct=18393&tsum=e335716fddad4e3d061128bed51dc0a8
中天新聞,rtmp://xiaoyu.speedws.com/sat/tv521
中天新聞,P2p://fccsovh.pvbox.live:18912/5c2dd72e0002527b767acda964a3e6b0.ts
中天新聞,P2p://fccsovh.pvbox.live:18912/5b14096a000dc917ee549a939989ba74.ts
中天新聞,p2p://190.2.146.92: 18912/5c7249b6000641f71d5776673c1d2f63.ts
中天新聞,http://ddbb.228888888.xyz:8081/live/tw101.m3u8
中天新聞,http://341697390.r.fdccdn.net/live/tw_zhongtian_xw.m3u8
中天新聞,http://198.16.106.58:8278/ctinews/playlist.m3u8?tid=MEFE4113231041132310&ct=18392&tsum=6a3e7c0f4dc22c460e84b9010cefeba0
中天新聞,http://192.154.103.75:8080//ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
中天新聞,http://104.250.154.42:8080/ZZ_zhongtiannews/ZZ_zhongtiannews.m3u8
三立財經,http://ddbb.228888888.xyz:8081/live/tw109.m3u8
三立新聞,P2p://fccsovh.pvbox.live:18912/5b14090b000e80304a8159b6edeb7918.ts
三立新聞,p2p://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts
三立新聞,p2p://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts
三立新聞,http://ddbb.228888888.xyz:8081/live/tw117.m3u8
三立新聞,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
三立新聞,http://198.16.106.58:8278/sanlinews/playlist.m3u8?tid=ME3E5821493458214934&ct=18392&tsum=5f17a08bd8808ba519dc51afd614ea06
TVBS新聞,rtmp://xiaoyu.speedws.com/sat/tv551
TVBS新聞,P2p://fccsovh.pvbox.live:18912/5c2dd76300095ef45a439012b24135d7.ts
TVBS新聞,P2p://fccsovh.pvbox.live: 18912/5b1409600008c73b1a05b1b720582889.ts
TVBS新聞,p2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
TVBS新聞,http://ddbb.228888888.xyz:8081/live/tw108.m3u8
TVBS新聞,http://ddbb.228888888.xyz:8081/live/tw104.m3u8
TVBS新聞,http://198.16.106.58:8278/tvbs/playlist.m3u8?tid=MEFE7824840078248400&ct=18392&tsum =d87f71825e2a134527e0395f265932b0
TVBS新聞,http://198.16.106.58:8278/tvbs_n/playlist.m3u8?tid=MEFE9769352797693527&ct=18392&tsum=22cb94c46749c8399ae5de55bf9b3f53

台灣影視,#genre# 
HBO原創電影,vjms://58.215.133.185:8500:3502/live/cid=436 
HBO原創電影,vjms://23.237.33.155:8500:3502/live/cid=436 
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181 
HBO家庭,vjms://23.237.33.155:8500:3502/live/cid=181 
HBO強檔,vjms://58.215.133.185:8500:3502/live/cid=238 
HBO強檔,vjms://23.237.33.155:8500:3502/live/cid=238 
HBO,vjms://58.215.133.185：8500： 3502/live/cid = 261
HBO,vjms://23.237.33.155：8500：3502/live/cid = 261 
東森電影,p8p://0198.02686.cc:16871/5d1a69af0009735f11bdcb2402d2abda.ts 
東森電影,p2p://51.79.41.138:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts 
靖天電影台,p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts 
龍華經典,p2p://fccsovh.pvbox.live:18912/5b14090b0001269c17d0ee93023202c3 
龍華影劇,P2p://51.79.41.138:18912/5b1408f2000aaf8c17d08f5c001549e8.ts 
美亞電影,P2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts 
美亞電影,p2p://51.79.41.138:18912/5c724a0e000442831d58cdaa6a2c5c52.ts 
星衛電影台,P2p://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts 
星衛電影,p2p://51.79.41.138:18912/5c724a05000626a61d58aaff0c3f3175.ts
衛視電影台,p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts 
緯來電影台,P2p://190.2.146.92:18912/5c7249d80003096d1d57fa6c33601be9.ts 
緯來電影台,p8p://0198.02686.cc:16871/5d1a69ce0005e8e911be435423cf0509.ts 
緯來電影台,p2p://170.178.164.250:6141/5b448afc0007f4650004373eda7b4dd8.ts 
FOX電影,vjms://58.215.133.185:8500:3502/live/cid=94 
FOX電影,vjms://23.237.33.155:8500:3502/live/cid=94 
FOX動作電影,P2p://51.79.41.138:18912/5b7267ae000b9c6c35cc884079c70164.ts 
FOX動作電影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8 
採昌影劇,p2p://fccsovh.pvbox.live:18912/5b1409db0009049a17d41d161677386d 
TVB星河,msc://CXHMovie 
TVB星河,p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts 
TVB韓劇台,msc://CKDrama5
華藝影劇台,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts 
三立戲劇台,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts 
緯來電影,p2p://51.79.41.138:18912/5c7249d80003096d1d57fa6c33601be9.ts 
緯來戲劇,vjms://58.215.133.185:8500:3502/live/cid=137 
緯來戲劇,vjms://23.237.33.155:8500:3502/live/cid=137 
緯來戲劇,P2p ://190.2.146.92:18912/5c72488e000bae061d52f38e705751dd.ts 
EYETV戲劇台,p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts 
大愛二台,p8p://0198.02686.cc:16871/5d1a69b8000386b311bdecc8d9c8c96a.ts 
鳳凰電影台,rtmp://58.200.131.2:1935/livetv/fhdy 
鳳凰電影台,https://116.77.72.195/streams/d/fhdy/playlist.m3u8 
華納電視台,http://192.200.120.82：8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
AXN,vjms://58.215.133.185：8500：3502/live/cid = 2 
AXN,vjms://23.237.33.155：8500：3502/live/cid = 2 
FX,p8p://0198.02686.cc：16871/5d1a69a50009208511bda3ff8356848f.ts 
藍色,p8p://0198.02686.cc：16871/5d1a69a60004767211bda6b5be685208.ts 
好萊塢電影,P2p://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts 
CHC高清電影HD,rtmp://58.200.131.2:1935/livetv/chchd 
CHC家庭電影,rtmp://58.200.131.2:1935/livetv/chctv 
CHC動作電影,rtmp://58.200.131.2:1935/livetv/chcatv 
反饋交流群,https://www.bbsok.cf/wp-content/uploads/2019/12/video_2019-12-23_13-03-01.mp4 
台灣娛樂,#genre# 
無線電視J2,p8p://0198.02686.cc：16871/5d1a6990000c457811bd52c53e48f6b9.ts 
TVB明珠台,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
TVB明珠台,vjms://23.237.33.155:8500:3502/live/cid=367 
TVB翡翠台,vjms://23.237.33.155:8500:3502/live/cid=362 
TVB翡翠台,p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts 
TVB翡翠台,http://m.567it.com/jade.m3u8 
TVBS歡樂台,p2p://51.79.41.138:18912/5c72488a000a56b71d52e3a07060345e.ts 
TVBS歡樂台,P2p://190.2.146.92:18912/5c72488a000a56b71d52e3a07060345e.ts 
TVBS歡樂台,vjms://23.237.33.155:8500:3502/live/cid=438 
TVBS歡樂台,rtmp://59.124.75.137/sat/tv421 
TVBS精采台,p8p://0198.02686.cc:16871/5d1a69ab0004fab811bdba5fa309b278.ts 
TVBS精采台,P2p://190.2.146.92:18912/5bdbf3b20000e966d2177540400d0818.ts 
公視,vjms://58.215.133.185:8500:3502/live/cid=236 
公視,vjms://23.237.33.155:8500:3502/live/cid=236
民視台灣台,P2p://51.79.41.138:18912/5b14095f00097ec617d238d6575b7b8c 
公視3,P2p://51.79.41.138:18912/5b14094a0002d1d117d1e518204a1cf0.ts 
中視經典,P2p://51.79.41.138:18912/5b140a14000a368c17d4fc0d0e2537ba.ts 
民視,P2p://190.2.146.92:18912/5c72483f0003db4b1d51bcf349367c26.ts 
民視,vjms://23.237.33.155:8500:3502/live/cid=226 
民視,mitv://fccsovh.pvbox.live：18912/5c72483f0003db4b1d51bcf349367c26 
中視,P2p://190.2.146.92:18912/5c72484b000b1d091d51edb7087b7686.ts 
中視,vjms://23.237.33.155:8500:3502/live/cid=452 
三立都會,vjms://58.215.133.185:8500:3502/live/cid=226 
三立台灣,p8p://0198.02686.cc:16871/5d1a69ae00025bef11bdc56ba098b443.ts 
