Js=gdlt
央视,#genre#
CCTV1综合,http://?id=G_CCTV-1-CQ
CCTV2财经,http://?id=G_CCTV-2-CQ
CCTV3综艺 ,http://?id=G_CCTV-3-CQ 
CCTV4中文国际  ,http://?id=G_CCTV-4-CQ 
CCTV5体育 ,http://?id=G_CCTV-5-CQ 
CCTV5+体育赛事  ,http://?id=G_CCTV-5PLUS-CQ 
CCTV6电影 ,http://?id=G_CCTV-6-CQ 
CCTV7国防军事 ,http://?id=G_CCTV-7-CQ 
CCTV8电视剧 ,http://?id=G_CCTV-8-CQ 
CCTV9纪录 ,http://?id=G_CCTV-9-CQ 
CCTV10科教  ,http://?id=G_CCTV-10-CQ 
CCTV11戏曲 ,http://?id=G_CCTV-11-CQ 
CCTV12社会与法 ,http://?id=G_CCTV-12-CQ 
CCTV13新闻 ,http://?id=G_CCTV-13-CQ 
CCTV14少儿 ,http://?id=G_CCTV-14-CQ 
CCTV15音乐 ,http://?id=G_CCTV-15-CQ 
CCTV16奥林匹克 ,http://?id=G_CCTV-16-CQ 
CCTV17农业农村 ,http://?id=G_CCTV-17-CQ 
CCTV女性时尚= G_NVXINGSS-CQ 
中央新影-发现之旅 ,http://?id=G_FAXIANZL 
中央新影-老故事 ,http://?id=G_LAOGUSHI 
CGTN  ,http://?id=G_CCTV-NEWS 
CGTN西语,http://?id=G_CGTN-ESPANOL 
CGTN法语,http://?id=G_CGTN-FRANCAIS 
CGTN俄语,http://?id=G_CGTN-PYCCNN 
CGTN阿语,http://?id=G_CGTN_A 
中国教育,#genre#
CETV1中教1台 ,http://?id=G_CETV-1-HQ 
CETV2中教2台 ,http://?id=G_CETV-2 
CETV3中教3台  ,http://?id=G_CETV-3 
CETV4中教4台  ,http://?id=G_CETV-4 
CETV早期教育 ,http://?id=G_CETV-ZQJY-CQ 
卫视,#genre#
北京卫视  ,http://?id=G_BEIJING-CQ 
东方卫视  ,http://?id=G_DONGFANG-CQ 
天津卫视 ,http://?id=G_TIANJIN-CQ 
重庆卫视  ,http://?id=G_CHONGQING-CQ 
黑龙江卫视  ,http://?id=G_HEILONGJIANG-CQ 
吉林卫视  ,http://?id=G_JILIN-CQ 
延边卫视  ,http://?id=G_YANBIAN 
辽宁卫视 ,http://?id=G_LIAONING-CQ 
内蒙古卫视  ,http://?id=G_NEIMENGGU 
宁夏卫视 ,http://?id=G_NINGXIA 
甘肃卫视  ,http://?id=G_GANSU-HQ 
青海卫视  ,http://?id=G_QINGHAI 
安多卫视 ,http://?id=G_ANDUO 
陕西卫视 ,http://?id=G_SHANXI-HQ 
农林卫视  ,http://?id=G_NONGLIN 
河北卫视  ,http://?id=G_HEBEI-CQ 
山东卫视  ,http://?id=G_SHANDONG-CQ 
安徽卫视  ,http://?id=G_ANHUI-CQ 
河南卫视 ,http://?id=G_HENAN-CQ 
湖北卫视  ,http://?id=G_HUBEI-CQ 
湖南卫视 ,http://?id=G_HUNAN-CQ 
江西卫视  ,http://?id=G_JIANGXI-CQ 
江苏卫视 ,http://?id=G_JIANGSU-CQ 
江苏卫视2  ,http://?id=G_YITANCQ 
江苏卫视3  ,http://?id=G_ZHIYE 
浙江卫视 ,http://?id=G_ZHEJIANG-CQ 
东南卫视  ,http://?id=G_DONGNAN-CQ 
厦门卫视  ,http://?id=G_XIAMEN 
广东卫视  ,http://?id=G_GUANGDONG-CQ 
深圳卫视  ,http://?id=G_SHENZHEN-CQ 
大湾区卫视  ,http://?id=G_NANFANG 
广西卫视  ,http://?id=G_GUANGXI-HQ 
云南卫视 ,http://?id=G_YUNNAN-CQ 
贵州卫视  ,http://?id=G_GUIZHOU-CQ 
四川卫视 ,http://?id=G_SICHUAN-CQ 
康巴卫视  ,http://?id=G_KANGBA 
新疆卫视 ,http://?id=G_XINJIANG 
兵团卫视  ,http://?id=G_BINGTUAN 
西藏卫视  ,http://?id=G_XIZANG 
海南卫视  ,http://?id=G_HAINAN-HQ 
三沙卫视  ,http://?id=G_SANSHA-HQ 
其他,#genre#
北京纪实科教  ,http://?id=G_BEIJINGJS-CQ 
卡酷少儿 ,http://?id=G_KAKU 
上海纪实文人  ,http://?id=G_SHANGHAIJS-HD 
哈哈炫动  ,http://?id=G_XUANDONG 
家庭理财  ,http://?id=G_JIATINGLC 
山东教育  ,http://?id=G_SDETV 
中华美食 ,http://?id=G_ZHONGHUAMS 
国学频道  ,http://?id=G_GUOXUE 
金鹰卡通 ,http://?id=G_JINYING 
优漫卡通  ,http://?id=G_YOUMAN 
嘉佳卡通 ,http://?id=G_JIAJIA 
天元围棋  ,http://?id=G_TIANYUANWQ 
徐闻综合  ,http://?id=zanjiang01 
梅州综合  ,http://?id=meizhou1 
梅州客家生活  ,http://?id=meizhou2
阳江综合  ,http://?id=yangjiang1
阳江生活  ,http://?id=yangjiang2
